TagName,"Real Radio Description
MAKE SURE THERE's ALWAYS A PERIOD (.) AT THE END OF THE SENTENCE!","Fake Radio Description
MAKE SURE THERE's ALWAYS A PERIOD (.) AT THE END OF THE SENTENCE!",Short Description (when the mouse hovers on a body in the newspaper),Notes (just notes; will not publish to the game),Tutorials,
Hair_DreadlocksShort,"This {1} has <color=yellow>short dreadlocks </color>that are twisted into thick, compact strands.",,Short Dreadlocks,,,
,The {1} was known to have <color=yellow>short dreadlocks</color> that didn't go much past his head.,,,,,
Hair_Undercut,"The {1} has a stylish haircut, with an <color=yellow>undercut</color> on one side and short, neatly trimmed hair on top. The sharp lines and contrasting lengths add a modern edge to their appearance.",,Undercut,,,
,The {1}'s hair was cut short with <color=yellow>shaved sides</color>.,,,,,
Hair_FingerWaves,"The {1} has a vintage hairstyle, with their hair styled into <color=yellow>finger waves</color> that create a series of elegant curves and lines. ",,Finger Waves,,,
,The {1}'s hair was short and stylized into a series of gelled <color=yellow>waves</color>.,,,,,
Hair_SidePartBob,"The {1} has a sleek and classic hairstyle, with a <color=yellow>side part bob</color> that falls just below the chin. The hair is styled straight and sleek, with the side part adding a touch of sophistication to their appearance.",,Side Part Bob,,,
,The {1} was noted as having <color=yellow>short straight hair</color> that came down below their chin.,,,,,
Hair_VictoryRolls,"The {1} has a retro hairstyle, with their hair styled into <color=yellow>victory rolls</color>. The hair is curled and pinned up, creating a series of round, voluminous shapes on top of their head.",,Victory Rolls,,,
,"The {1}'s hair was kept in <color=yellow>large rolls</color>, curled and pinned to the top of their head.",,,,,
Hair_Afro,"The {1} has a natural and bold hairstyle, with an <color=yellow>afro</color> that is styled into a rounded, full shape.",,Afro,,,
,The {1} was noted as having a distinctive <color=yellow>afro</color>.,,,,,
Hair_BleachWaves,"The {1} has a daring and artistic hairstyle, with their hair styled into <color=yellow>bleach waves</color> that create a series of light, flowing lines. The hair is styled into loose waves, with a distinctive platinum blonde shade that adds a touch of edge to their appearance.",,Bleach Waves,,,
,The {1} had loose and <color=yellow>wavy platinum blonde hair</color>.,,,,,
Hair_DoublePony,"The {1} has a sleek and practical hairstyle, with their hair styled into a <color=yellow>double ponytail</color>. The hair is pulled back and divided into two sections, each styled into a neat ponytail.",,Double Pony,,,
,The {1}  put their hair into <color=yellow>two distinct ponytails</color> on either side of their head.,,,,,
Hair_StraightLong,"The {1} has a sleek and elegant hairstyle, with <color=yellow>long straight</color> hair that falls past their shoulders. The hair is styled smooth and straight, creating a sleek and sophisticated look that adds a touch of grace to their appearance.",,Straight Long,,,
,"The {1}'s hair was <color=yellow>long and straight</color>, falling just below shoulder length.",,,,,
Hair_PonyTail,The {1} kept their hair in a single <color=yellow>long ponytail</color>.,,Pony Tail,,,
Hair_Mustache,The {1} had a thick and luscious <color=yellow>mustache</color>.,,Mustache,,,
Hair_ShortMiddlePart,The {1}'s hair was <color=yellow>short and parted down the middle</color>.,,Short Middle Part,,,
Hair_BuzzCut,The {1}'s hair was shaven into an extremely low <color=yellow>buzz cut</color>.,,Buzz Cut,,,
Hair_GreyMiddlePart,"The {1}'s hair is <color=yellow>middle-parted</color>, and a fashionable <color=yellow>grey</color> in color.",,Grey Middle Part,,,
Hair_TwinBraids,The {1} kept their hair in two <color=yellow>twin braids</color>.,,Twin Braids,,,
,,,,,,
Headwear_Tallhat,The {1} was seen wearing a large <color=yellow>top hat</color> with a red band.,,Tall Hat,,,
,"The {1} is wearing a <color=yellow>tall hat</color>. It has a cylindrical shape and is made of materials such as wool, felt, or straw. The hat extends upwards, reaching a substantial height above the head.",,Tall Hat,,,
Headwear_Beret,Sources indicate the {1} was likely wearing a <color=yellow>beret</color> before they disappeared.,,Beret,,,
,"A round and flat head covering, the <color=yellow>beret</color>, was worn by The {1}. It fit snugly on the head with a slight slouch towards one side.",,Beret,,,
Headwear_Tiara,"The {1} is wearing a <color=yellow>tiara</color> on their head. It has a circular band that rests atop the head, with a raised center that is decorated with sparkling gems. The police suspect that the gems are fake and made with cheap glass.",,Tiara,,,
,The {1} was last seen wearing a sparkling <color=yellow>tiara</color> with gems.,,Tiara,,,
Headwear_Facemask,The {1} is wearing a <color=yellow>face mask</color> that covers the lower half of their face. ,,Facemask,,,
Headwear_Bandana,The {1} is believed to have been wearing a <color=yellow>bandana</color> with several multi-colored swirls.,,Bandana,,,
,"The {1} is wearing a <color=yellow>bandana</color> on their head.It is folded into a triangle and tied around the head, covering the top and back of the head with a stylish flair. ",,Bandana,,,
Headwear_Hairclip,"Before they disappeared, The {1} was spotted wearing a <color=yellow>small hair clip</color>.",,Hair Clip,,,
,"The {1} is wearing a <color=yellow>hair clip</color> on the top of their head. The hair clip is a shiny, silver-tone accessory that has a unique design featuring delicate leaves and vines.The hair clip is adorned with sparkling crystals.",,Hair Clip,,,
Headwear_Sunglasses,"The {1} was last seen wearing round, metal rimmed, <color=yellow>sunglasses</color>.",,Sunglasses,,,
,The {1} was wearing a pair of stylish <color=yellow>sunglasses</color> that are perched on their nose. The sunglasses are round with a metal frame.,,Sunglasses,,,
Headwear_DetectiveHat,The {1} was last seen wearing an vintage <color=yellow>detective hat</color>; the kind of trilby from a noir film.,,Detective Hat,,,
Headwear_TrapperHat,"The {1}  was wearing a <color=yellow>trapper hat</color> with ear flaps, one that is lined with fine fur on the inside.",,Trapper Hat,,,
,,,,,,
Bodytype_TallFat,The {1} was <color=yelow>tall and heavyset</color>.,,Tall and Fat,,,
Bodytype_TallAverage,The {1} was <color=yellow>tall</color>.,,Tall,,,
Bodytype_TallThin,The {1} was <color=yellow>tall and lanky</color>.,,Tall and Thin,,,
Bodytype_AverageFat,The {1} was <color=yellow>heavyset</color>.,,Fat,,,
Bodytype_AverageAverage,The {1} was of <color=yellow>medium size and build</color>.,,Average,,,
Bodytype_AverageThin,The {1} was <color=yellow>lanky</color>.,,Thin,,,
Bodytype_ShortFat,The {1} was <color=yellow>short and heavyset</color>.,,Short and Fat,,,
Bodytype_ShortAverage,The {1} was <color=yellow>short</color>.,,Short,,,
BodyType_ShortThin,The {1} was <color=yellow>short and particularly thin</color>.,,Short and Thin,,,
,,,,,,
Voice_Gender,It's voice of <color=yellow>a {0}</color> ,,,,,
,"It's voice of a <color=yellow>{0}</color>, and ",,,,,
Voice_Speed,with a <color=yellow>{0}</color>. ,,,,,
,speaks at a <color=yellow>{0} pace</color>. ,,,,,
Voice_Type_0,"When they speak, their voice has a distinctive <color=yellow>quiver</color> and is easily recognizable even in a crowded room.",,High-Pitched Voice,High Pitch,,
Voice_Type_1,,,Normal-Pitched Voice,Normal Pitch,,
Voice_Type_2,It is a distinctive <color=yellow>low voice</color> that's immediately recognizable to listeners.,,Low-Pitched Voice,Low Pitch,,
,,,,,,
,,,,,,
,,,,,,
"The Radio may not broadcast how the alien knocks the door in most cases. The description for door-knocking behavior might be only used in special cases.
So the description is case-specific",,,,,,
Knock_random,,,,Current door knocking pattern (random),,
Knock_2,Police reported a few cases of <color=yellow>stolen packages</color> from delivery. No one was injured and the police have no further details at this point. Please be advised that your delivery may be delayed.,,Stolen Package,,,
Knock_3,"Due to a high demand yesterday, the delivery department had to work overtime last night. As a result, your delivery may be <color=yellow>delayed or canceled</color> today. ",,Canceled,,,
